alter 改变
burst 爆裂
dispose 处理
blast 爆炸
consume 消耗
split 分裂
spit 唾弃
spill 倒出
slip 忽略
slide 滑动
bacteria 细菌
breed 品种
budget 预算
candidate 候选人
campus 校园
liberal 自由的
transform 转变
transmit 传播
transplant 移植
transport 运输
shift 转移
vary 变化
vanish 消灭　
swallow 咽下
suspicion 怀疑
suspicious 怀疑的
mild 温暖的
tender 温柔的
nuisance 损害
insignificant 无意义的
accelerate 加速
absolute 绝对的
boundary 分界线
brake 刹车
catalog 目录
vague 模糊的
vain 徒劳
extinct 绝灭的
extraordinary 特别的
extreme 极端的
agent 代理人
alcohol 酒精
appeal 呼吁
appreciate 重视
approve 赞成
stimulate 激励
acquire 获得
accomplish 完成
network 网络
tide 潮汐
